"","x","y","area"
"511",9844,8718,"domain_1"
"512",4444,9665,"domain_2"
"513",3813,7861,"domain_2"
"514",8337,8720,"domain_1"
"515",6577,8001,"domain_3"
"516",4066,8872,"domain_2"
"517",6706,10239,"domain_1"
"518",6950,5763,"domain_4"
"519",4317,8582,"domain_2"
"520",8581,4533,"domain_2"
"521",2429,5914,"domain_2"
"522",6948,4175,"domain_3"
"523",9465,7203,"domain_1"
"524",7206,8650,"domain_1"
"525",3809,5262,"domain_2"
"526",7202,5762,"domain_4"
"527",4067,9593,"domain_2"
"528",8338,9587,"domain_1"
"529",8460,7204,"domain_1"
"530",7584,9444,"domain_1"
"531",7826,3668,"domain_2"
"532",5071,8726,"domain_2"
"533",9212,6048,"domain_2"
"534",7961,9660,"domain_1"
"535",5317,5260,"domain_2"
"536",2927,3604,"domain_5"
"537",3686,6490,"domain_2"
"538",7451,4318,"domain_3"
"539",9593,8863,"domain_1"
"540",9208,3738,"domain_3"
"541",5064,4683,"domain_2"
"542",8081,5544,"domain_3"
"543",4812,3817,"domain_3"
"544",3438,8945,"domain_2"
"545",2303,5842,"domain_2"
"546",6330,10456,"domain_1"
"547",8710,6338,"domain_2"
"548",5451,10674,"domain_1"
"549",7324,3958,"domain_3"
"550",3936,5768,"domain_2"
"551",6199,7208,"domain_3"
"552",10341,5397,"domain_6"
"553",6454,9518,"domain_1"
"554",9964,4892,"domain_2"
"555",6076,9157,"domain_2"
"556",5439,3311,"domain_3"
"557",10467,5757,"domain_2"
"558",5574,8869,"domain_2"
"559",5948,7064,"domain_3"
"560",3433,5480,"domain_2"
"561",3311,8007,"domain_2"
"562",9713,5037,"domain_2"
"563",6195,4753,"domain_3"
"564",6204,10384,"domain_1"
"565",7576,3957,"domain_3"
"566",5073,10025,"domain_2"
"567",9841,6552,"domain_1"
"568",6445,3742,"domain_3"
"569",7210,10816,"domain_1"
"570",10086,3087,"domain_2"
"571",4567,7860,"domain_2"
"572",6953,7351,"domain_3"
"573",3812,6851,"domain_2"
"574",5450,10385,"domain_1"
"575",6193,3310,"domain_3"
"576",4944,8220,"domain_2"
"577",8839,8864,"domain_1"
"578",10595,6984,"domain_1"
"579",3816,9594,"domain_2"
"580",3434,6202,"domain_2"
"581",4939,4900,"domain_2"
"582",9840,5975,"domain_2"
"583",9084,4388,"domain_3"
"584",9087,6265,"domain_1"
"585",10215,5036,"domain_6"
"586",6951,5907,"domain_4"
"587",7835,9010,"domain_1"
"588",8715,9658,"domain_1"
"589",2552,4687,"domain_5"
"590",3808,4541,"domain_2"
"591",7082,9733,"domain_1"
"592",3941,9233,"domain_2"
"593",6579,9012,"domain_1"
"594",4940,5333,"domain_2"
"595",7702,4173,"domain_3"
"596",6832,10600,"domain_1"
"597",9969,8357,"domain_1"
"598",8965,9080,"domain_1"
"599",8205,4606,"domain_3"
"600",5451,10530,"domain_1"
"601",8582,4677,"domain_2"
"602",4058,3963,"domain_2"
"603",4817,7282,"domain_2"
"604",10220,8068,"domain_1"
"605",7334,9877,"domain_1"
"606",7328,6268,"domain_4"
"607",10089,4531,"domain_2"
"608",6201,8796,"domain_2"
"609",5450,9952,"domain_2"
"610",9216,8936,"domain_1"
"611",7453,6051,"domain_4"
"612",5950,8796,"domain_2"
"613",8338,9442,"domain_1"
"614",7578,5545,"domain_3"
"615",9468,9080,"domain_1"
"616",6955,8939,"domain_1"
"617",4821,9304,"domain_2"
"618",9593,8718,"domain_1"
"619",6821,3381,"domain_3"
"620",7700,3163,"domain_2"
"621",6192,3021,"domain_3"
"622",3941,9377,"domain_2"
