"","x","y","area"
"600",11656,10171,"domain_4"
"601",19993,14945,"domain_3"
"602",17972,13498,"domain_1"
"603",16718,18867,"domain_1"
"604",17206,7841,"domain_1"
"605",9388,12640,"domain_2"
"606",20759,20312,"domain_3"
"607",19991,13495,"other"
"608",19746,17992,"domain_3"
"609",9647,16847,"domain_2"
"610",14431,8861,"domain_4"
"611",21000,12913,"domain_3"
"612",22275,21180,"domain_3"
"613",19984,8852,"domain_3"
"614",7624,14529,"domain_2"
"615",20742,9286,"domain_3"
"616",14199,22643,"domain_4"
"617",8137,20041,"domain_2"
"618",18237,22057,"domain_4"
"619",13163,5526,"domain_4"
"620",16449,8277,"domain_1"
"621",16447,7117,"domain_1"
"622",9127,7273,"domain_4"
"623",21998,5367,"domain_5"
"624",16705,10453,"domain_1"
"625",8127,13658,"domain_2"
"626",10146,13074,"domain_2"
"627",20993,8270,"domain_3"
"628",20002,20748,"domain_3"
"629",9902,18443,"domain_2"
"630",13947,22789,"domain_4"
"631",5864,19029,"domain_2"
"632",19487,14076,"other"
"633",16447,6827,"domain_1"
"634",7113,10468,"domain_2"
"635",20498,14654,"domain_3"
"636",3843,18162,"domain_2"
"637",8392,21927,"domain_2"
"638",5345,10325,"domain_2"
"639",15198,15388,"domain_4"
"640",4348,18451,"domain_2"
"641",19228,9869,"domain_3"
"642",23016,10298,"domain_3"
"643",19997,17557,"domain_3"
"644",9146,19459,"domain_2"
"645",7878,15834,"domain_2"
"646",18236,20896,"domain_1"
"647",16968,17561,"domain_1"
"648",7889,23088,"domain_2"
"649",13432,16116,"domain_4"
"650",8386,17865,"domain_2"
"651",13691,20613,"domain_4"
"652",14182,11618,"domain_1"
"653",8890,17284,"domain_2"
"654",4099,20628,"domain_2"
"655",4100,21498,"domain_2"
"656",17460,9146,"domain_1"
"657",5095,11922,"domain_2"
"658",3840,16131,"domain_2"
"659",21010,19586,"domain_3"
"660",22000,6528,"domain_5"
"661",14178,8426,"domain_4"
"662",20005,22489,"domain_3"
"663",19235,14511,"domain_3"
"664",14696,17420,"domain_1"
"665",7870,10612,"domain_2"
"666",21015,22778,"domain_3"
"667",14687,11617,"domain_4"
"668",8388,19315,"domain_2"
"669",9908,22795,"domain_2"
"670",10414,23374,"domain_2"
"671",23285,21759,"domain_3"
"672",16971,19302,"domain_1"
"673",17216,14514,"domain_1"
"674",15456,19014,"domain_1"
"675",21766,18860,"domain_3"
"676",15943,7408,"domain_1"
"677",11422,22502,"domain_2"
"678",18237,21767,"domain_1"
"679",10405,17571,"domain_2"
"680",16214,19449,"domain_1"
"681",15463,23367,"domain_4"
"682",10899,10607,"domain_4"
"683",7621,13078,"domain_2"
"684",15188,8715,"domain_4"
"685",19493,17848,"domain_3"
"686",18491,22782,"domain_3"
"687",18720,7549,"domain_1"
"688",7887,21347,"domain_2"
"689",10393,9447,"domain_4"
"690",16454,11179,"domain_1"
"691",9885,7707,"other"
"692",7124,18012,"domain_2"
"693",12935,21049,"domain_4"
"694",17718,12773,"domain_1"
"695",11168,21487,"domain_2"
"696",5859,15837,"domain_2"
"697",20005,22779,"domain_3"
"698",14934,7990,"domain_4"
"699",8124,11627,"domain_2"
"700",12672,14521,"domain_4"
"701",20997,10882,"domain_3"
"702",7634,21493,"domain_2"
"703",13184,19163,"domain_4"
"704",21267,22342,"domain_3"
"705",20238,9867,"domain_3"
"706",12426,18439,"domain_4"
"707",4607,22658,"domain_2"
"708",21251,11607,"domain_3"
"709",11415,17860,"domain_2"
"710",12167,14232,"domain_6"
"711",7113,11048,"domain_2"
"712",6869,16126,"domain_2"
"713",19734,10158,"domain_3"
"714",12665,9589,"other"
"715",12682,20905,"domain_4"
"716",13443,23080,"domain_4"
"717",15439,7989,"domain_1"
"718",19248,22636,"domain_3"
"719",10409,20183,"domain_2"
"720",21516,20166,"domain_3"
"721",19991,13205,"other"
"722",13167,7557,"domain_4"
"723",20258,22924,"domain_3"
"724",14703,21772,"domain_4"
"725",20485,6240,"domain_5"
"726",9393,15832,"domain_2"
"727",14187,14809,"domain_4"
"728",5105,18305,"domain_2"
"729",21769,20601,"domain_3"
"730",7875,13803,"domain_2"
"731",21243,6384,"domain_5"
"732",21762,16248,"domain_3"
"733",11167,20907,"domain_2"
"734",6371,20769,"domain_2"
"735",12660,6687,"domain_4"
"736",10151,16556,"domain_2"
"737",5357,17869,"domain_2"
"738",21507,14073,"domain_3"
"739",4344,15550,"domain_2"
"740",4855,19901,"domain_2"
"741",7883,19316,"domain_2"
"742",7116,12499,"domain_2"
"743",10141,9883,"domain_4"
"744",19989,12044,"other"
"745",18470,8855,"domain_1"
"746",20743,10157,"domain_3"
"747",15959,18143,"domain_1"
"748",17728,19446,"domain_1"
"749",7868,9161,"domain_2"
